elytraLength_pix,elytraWidth_pix,elytraLength_cm,elytraWidth_cm,user_name,genus,species,individualID,outliers
108.115678788971,50.1597448159378,1.40409972453209,0.651425257349842,IsaFluck,Carabus,goryi,A00000032929_1,False
118.562219952226,50.3289181286465,1.53976909028865,0.653622313359045,IsaFluck,Carabus,goryi,A00000032929_2,False
109.165012710117,52.0864665724217,1.41772743779373,0.676447617823658,IsaFluck,Carabus,goryi,A00000032929_3,False
105.0,50.0099990001999,1.36363636363636,0.649480506496103,IsaFluck,Carabus,goryi,A00000032929_4,False
103.576059009792,47.5184174820669,1.3451436235038,0.617122304961908,IsaFluck,Carabus,goryi,A00000032929_5,False
113.039815994189,53.0094331227943,1.46804955836608,0.688434196399926,IsaFluck,Carabus,goryi,A00000032929_6,False
109.370928495647,54.230987451825,1.42040166877464,0.70429853833539,IsaFluck,Carabus,goryi,A00000032929_7,False
104.0,51.0,1.35064935064935,0.662337662337662,IsaFluck,Carabus,goryi,A00000032929_8,False
97.8672570372747,51.0392006206994,1.27100333814642,0.662846761307784,IsaFluck,Carabus,goryi,A00000032929_9,False
105.076162853427,51.0392006206994,1.36462549160295,0.662846761307784,IsaFluck,Carabus,goryi,A00000032929_10,False
108.041658632215,50.0,1.403138423795,0.649350649350649,IsaFluck,Carabus,goryi,A00000032929_11,False
96.1301201497221,52.1536192416212,1.24844311882756,0.677319730410665,IsaFluck,Carabus,goryi,A00000032929_12,False
114.542568506211,55.0090901579003,1.48756582475598,0.714403768284419,IsaFluck,Carabus,goryi,A00000032929_13,False
108.07404868885,52.0384473250308,1.36791634604098,0.658661756287528,ishachinniah,Carabus,goryi,A00000032929_1,False
119.205704561485,50.3289181286465,1.50881209494106,0.637023879663687,ishachinniah,Carabus,goryi,A00000032929_2,False
110.222502239788,47.0425339453563,1.39510978208498,0.595427412257937,ishachinniah,Carabus,goryi,A00000032929_3,False
103.004854254545,45.0111097397076,1.30375446803166,0.569715241664139,ishachinniah,Carabus,goryi,A00000032929_4,False
102.259473888731,45.5411901469428,1.29432002934092,0.57642458273695,ishachinniah,Carabus,goryi,A00000032929_5,False
111.04053313993,50.0,1.40546377412514,0.632860692569807,ishachinniah,Carabus,goryi,A00000032929_6,False
106.230880632705,49.0917508345343,1.34458697379028,0.621364788652156,ishachinniah,Carabus,goryi,A00000032929_7,False
103.043680058507,49.0,1.30424589453537,0.620203478718411,ishachinniah,Carabus,goryi,A00000032929_8,False
99.503768772846,50.0899191454728,1.25944048037778,0.633998818423391,ishachinniah,Carabus,goryi,A00000032929_9,False
104.043260233424,47.0425339453563,1.31689779457091,0.595427412257937,ishachinniah,Carabus,goryi,A00000032929_10,False
109.041276588272,46.0108682813094,1.38015875640699,0.582369399324952,ishachinniah,Carabus,goryi,A00000032929_11,False
96.0832971957145,47.0425339453563,1.21614684015341,0.595427412257937,ishachinniah,Carabus,goryi,A00000032929_12,False
118.308917668957,53.7121960079831,1.49746127146321,0.679846751301149,ishachinniah,Carabus,goryi,A00000032929_13,False
108.07404868885,47.0425339453563,1.30209697215482,0.566777517413931,rileywolcheski,Carabus,goryi,A00000032929_1,False
122.14745187682,56.4003546088143,1.47165604670867,0.67952234468451,rileywolcheski,Carabus,goryi,A00000032929_2,False
114.070153852794,49.0407993409569,1.37433920304571,0.590853004107915,rileywolcheski,Carabus,goryi,A00000032929_3,False
108.004629530405,47.0,1.30126059675187,0.566265060240964,rileywolcheski,Carabus,goryi,A00000032929_4,False
107.200746266059,43.4165866921848,1.29157525621758,0.523091405929938,rileywolcheski,Carabus,goryi,A00000032929_5,False
115.039123779695,53.0094331227943,1.3860135395144,0.638667868949329,rileywolcheski,Carabus,goryi,A00000032929_6,False
111.220501707194,53.0377224247045,1.34000604466499,0.639008703912102,rileywolcheski,Carabus,goryi,A00000032929_7,False
106.0,50.0099990001999,1.27710843373494,0.602530108436144,rileywolcheski,Carabus,goryi,A00000032929_8,False
100.717426496113,51.3517283058711,1.21346296983269,0.618695521757483,rileywolcheski,Carabus,goryi,A00000032929_9,False
106.004716876184,49.0102030193714,1.27716526356849,0.590484373727366,rileywolcheski,Carabus,goryi,A00000032929_10,False
113.070774296456,49.0102030193714,1.36229848549946,0.590484373727366,rileywolcheski,Carabus,goryi,A00000032929_11,False
104.120122935002,52.0096144957834,1.25445931246991,0.62662186139498,rileywolcheski,Carabus,goryi,A00000032929_12,False
118.186293621553,59.0338885725818,1.42393124845245,0.711251669549178,rileywolcheski,Carabus,goryi,A00000032929_13,False
60.0832755431992,30.364452901378,0.54618902651908,0.276029074997149,ishachinniah,Synuchus,impunctatus,A00000033585_1,False
65.00769185258,34.0,0.590954597734677,0.309078137530914,ishachinniah,Synuchus,impunctatus,A00000033585_2,False
