pictureID,max_individual,num_annotators,num_pic_meas,expected_num_meas
A00000003356.jpg,1.0,3,6.0,2.0
A00000012427.jpg,15.0,3,90.0,30.0
A00000012429.jpg,21.0,3,126.0,42.0
A00000012430.jpg,13.0,3,78.0,26.0
A00000012431.jpg,21.0,3,126.0,42.0
A00000012432.jpg,15.0,3,88.0,29.333333333333332
A00000012433.jpg,18.0,3,108.0,36.0
A00000012434.jpg,10.0,3,60.0,20.0
A00000012435.jpg,11.0,3,66.0,22.0
A00000012436.jpg,19.0,3,114.0,38.0
A00000012920.jpg,30.0,3,180.0,60.0
A00000012923.jpg,20.0,3,120.0,40.0
A00000012924.jpg,32.0,3,192.0,64.0
A00000012961.jpg,21.0,3,126.0,42.0
A00000032878.jpg,12.0,3,72.0,24.0
A00000032895.jpg,10.0,3,60.0,20.0
A00000032912.jpg,16.0,3,96.0,32.0
A00000032929.jpg,13.0,3,78.0,26.0
A00000032963.jpg,18.0,3,108.0,36.0
A00000032979.jpg,22.0,3,132.0,44.0
A00000032996.jpg,11.0,3,66.0,22.0
A00000033569.jpg,52.0,3,312.0,104.0
A00000033570.jpg,14.0,3,84.0,28.0
A00000033571.jpg,75.0,3,450.0,150.0
A00000033572.jpg,11.0,3,66.0,22.0
A00000033573.jpg,10.0,3,60.0,20.0
A00000033584.jpg,30.0,3,180.0,60.0
A00000033585.jpg,16.0,3,96.0,32.0
A00000033586.jpg,11.0,3,66.0,22.0
A00000033587.jpg,14.0,3,84.0,28.0
A00000033588.jpg,32.0,3,192.0,64.0
A00000033589.jpg,11.0,3,66.0,22.0
A00000033590.jpg,11.0,3,66.0,22.0
A00000033601.jpg,30.0,3,180.0,60.0
A00000033603.jpg,20.0,3,120.0,40.0
A00000033604.jpg,13.0,3,78.0,26.0
A00000033605.jpg,21.0,3,126.0,42.0
A00000033606.jpg,10.0,3,60.0,20.0
A00000033607.jpg,10.0,3,60.0,20.0
A00000033618.jpg,12.0,3,72.0,24.0
A00000033619.jpg,19.0,3,114.0,38.0
A00000033620.jpg,12.0,3,72.0,24.0
A00000033621.jpg,35.0,3,210.0,70.0
A00000033622.jpg,13.0,3,78.0,26.0
A00000033623.jpg,18.0,3,108.0,36.0
A00000033624.jpg,15.0,3,90.0,30.0
A00000033635.jpg,11.0,3,66.0,22.0
A00000033636.jpg,61.0,3,366.0,122.0
A00000033637.jpg,19.0,3,114.0,38.0
A00000033638.jpg,19.0,3,114.0,38.0
A00000033639.jpg,13.0,3,78.0,26.0
A00000033640.jpg,11.0,3,66.0,22.0
A00000033641.jpg,15.0,3,90.0,30.0
A00000033651.jpg,24.0,3,144.0,48.0
A00000033652.jpg,17.0,3,102.0,34.0
A00000033653.jpg,38.0,3,228.0,76.0
A00000033654.jpg,14.0,3,84.0,28.0
A00000033655.jpg,12.0,3,72.0,24.0
A00000033656.jpg,31.0,3,186.0,62.0
A00000033657.jpg,10.0,3,60.0,20.0
A00000033658.jpg,10.0,3,60.0,20.0
A00000033668.jpg,13.0,3,78.0,26.0
A00000033669.jpg,10.0,3,60.0,20.0
A00000033670.jpg,13.0,3,78.0,26.0
A00000033671.jpg,12.0,3,72.0,24.0
A00000033672.jpg,12.0,3,72.0,24.0
A00000033673.jpg,20.0,3,120.0,40.0
A00000033674.jpg,21.0,3,126.0,42.0
A00000033675.jpg,24.0,3,144.0,48.0
A00000033686.jpg,15.0,3,90.0,30.0
